Ticker,Total Return (%),Max Drawdown (%),Volatility (%),Sharpe Ratio
Equal-weight,33.09641635833756,-9.747182104826157,14.525953345316312,2.10215082839089
Custom Portfolio,33.09641635833756,-9.747182104826157,14.525953345316312,2.10215082839089
AAPL,47.26669378901551,-13.798524071888174,22.637437978460458,1.837214035193208
QQQ,30.92312681107041,-11.964367111609375,16.941942701056693,1.6885844105217904
IBB,30.086728169949374,-9.633426132890555,20.261798823088604,1.4099248468007644
GLD,21.47095777911754,-24.46461157842713,27.31033824357272,0.8559998971175681
